120,NANO LETTERS,"103,399",12.94,0.37513,
121,Annual Review of Clinical Psychology,"2,542",12.921,0.00947,
121,Annual Review of Clinical Psychology,"2,542",12.921,0.00947,
123,IMMUNOLOGICAL REVIEWS,"13,018",12.909,0.04899,
124,TRENDS IN NEUROSCIENCES,"18,523",12.902,0.03691,
125,World Psychiatry,"1,459",12.846,0.00379,
125,World Psychiatry,"1,459",12.846,0.00379,
127,Psychological Science in the Public Interest,584,12.833,0.00216,
128,ADVANCED DRUG DELIVERY REVIEWS,"23,820",12.707,0.03938,
129,GENES & DEVELOPMENT,"59,234",12.639,0.16574,
130,EUROPEAN UROLOGY,"19,389",12.48,0.0564,
131,Annual Review of Biomedical Engineering,"3,486",12.45,0.00778,
132,TRENDS IN CELL BIOLOGY,"11,144",12.314,0.03868,
133,Annual Review of Biophysics,"1,975",12.25,0.01724,
134,Cell Host & Microbe,"7,622",12.194,0.05316,
135,MOLECULAR INTERVENTIONS,"1,073",12.143,0.00197,
136,COORDINATION CHEMISTRY REVIEWS,"27,922",12.098,0.03644,
137,ACS Nano,"58,446",12.033,0.27094,
138,TRENDS IN IMMUNOLOGY,"8,638",12.031,0.02783,
139,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,"51,564",11.986,0.09514,
140,CELL RESEARCH,"8,083",11.981,0.03778,
141,ANNALS OF NEUROLOGY,"33,670",11.91,0.06321,
142,Annual Review of Condensed Matter Physics,845,11.909,0.00854,
143,Living Reviews in Solar Physics,582,11.833,0.00391,
144,MATERIALS SCIENCE & ENGINEERING R-REPORTS,"5,154",11.789,0.00765,
145,PLOS BIOLOGY,"24,324",11.771,0.11227,
146,Nature Geoscience,"10,224",11.668,0.0919,
147,NATURE STRUCTURAL & MOLECULAR BIOLOGY,"25,691",11.633,0.11795,
148,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,"2,239",11.625,0.00372,
149,TRENDS IN GENETICS,"11,015",11.597,0.03149,
150,BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,"13,505",11.574,0.03257,
151,SYSTEMATIC BIOLOGY,"12,226",11.532,0.02871,
152,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,"462,510",11.444,0.81912,
153,Autophagy,"7,829",11.423,0.03566,
154,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,"215,408",11.336,0.50392,
155,Annual Review of Fluid Mechanics,"7,538",11.26,0.01496,
156,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,"36,389",11.248,0.07898,
157,HEPATOLOGY,"53,052",11.19,0.12712,
158,CIRCULATION RESEARCH,"47,185",11.089,0.09281,
159,Oceanography and Marine Biology,"2,180",11.083,0.00198,
160,Annual Review of Phytopathology,"5,920",11,0.00826,
161,AMERICAN JOURNAL OF HUMAN GENETICS,"33,944",10.987,0.08038,
162,Annual Review of Ecology Evolution and Systematics,"16,396",10.977,0.01861,
163,Materials Today,"4,739",10.85,0.014,
164,Nature Reviews Gastroenterology & Hepatology,"2,342",10.807,0.01377,
165,EMBO JOURNAL,"76,176",10.748,0.15325,
166,Nature Communications,"17,193",10.742,0.12343,
167,NATURAL PRODUCT REPORTS,"7,158",10.715,0.01728,
168,GENOME BIOLOGY,"19,687",10.465,0.08275,
169,Annual Review of Nutrition,"4,846",10.459,0.0058,
170,ADVANCED FUNCTIONAL MATERIALS,"42,244",10.439,0.12081,
171,JOURNAL OF HEPATOLOGY,"24,551",10.401,0.06827,
172,REVIEWS OF GEOPHYSICS,"7,418",10.4,0.01264,
173,DEVELOPMENTAL CELL,"21,439",10.366,0.09938,
174,MOLECULAR ASPECTS OF MEDICINE,"3,486",10.302,0.00845,
175,PROGRESS IN NEUROBIOLOGY,"11,310",10.301,0.02122,
176,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,"15,111",10.284,0.03843,
177,Nature Reviews Rheumatology,"2,596",10.252,0.01562,
178,BRAIN,"44,457",10.226,0.0902,
179,Nano Energy,971,10.211,0.00282,
180,Annual Review of Earth and Planetary Sciences,"5,457",10.188,0.01268,
181,Nature Reviews Cardiology,"2,196",10.154,0.01314,
182,TRENDS IN MOLECULAR MEDICINE,"6,659",10.11,0.0209,
183,QUARTERLY REVIEWS OF BIOPHYSICS,"2,529",10.083,0.00546,
184,TRENDS IN BIOTECHNOLOGY,"10,767",10.04,0.02049,
185,TRENDS IN PHARMACOLOGICAL SCIENCES,"10,912",9.988,0.02406,
186,Perspectives on Psychological Science,"3,122",9.955,0.01964,
187,EXERCISE IMMUNOLOGY REVIEW,513,9.929,0.00118,
188,CURRENT BIOLOGY,"46,037",9.916,0.15525,
189,NPG Asia Materials,654,9.902,0.00333,
190,PROGRESS IN RETINAL AND EYE RESEARCH,"3,875",9.897,0.00845,
191,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,"565,934",9.809,1.50118,
192,TRENDS IN MICROBIOLOGY,"8,763",9.808,0.0211,
193,Advances in Anatomy Embryology and Cell Biology,399,9.8,5.30E-04,
194,BIOLOGICAL REVIEWS,"7,261",9.79,0.01426,
195,ACTA NEUROPATHOLOGICA,"12,284",9.777,0.03093,
196,BLOOD,"149,865",9.775,0.41182,
197,PROGRESS IN PHOTOVOLTAICS,"6,206",9.696,0.01613,
